"code" "name" "control_date" "main_cost_value"
"600036" "招商银行" "2015-09-22" "16.83"
"601398" "工商银行" "2015-09-22" "4.23"
"601857" "中国石油" "2015-09-22" "10.66"
"601988" "中国银行" "2015-09-22" "4.16"
"002505" "大康牧业" "2015-09-23" "6.69"
"600028" "XD中国石" "2015-09-23" "6.66"
"600036" "招商银行" "2015-09-23" "16.83"
"601398" "工商银行" "2015-09-23" "4.23"
"601857" "中国石油" "2015-09-23" "10.66"
"601988" "中国银行" "2015-09-23" "4.16"
"002505" "大康牧业" "2015-09-24" "6.63"
"600028" "中国石化" "2015-09-24" "6.66"
"600036" "招商银行" "2015-09-24" "16.83"
"601398" "工商银行" "2015-09-24" "4.23"
"601857" "中国石油" "2015-09-24" "10.66"
"601988" "中国银行" "2015-09-24" "4.16"
"002505" "大康牧业" "2015-09-25" "6.59"
"600028" "中国石化" "2015-09-25" "6.65"
"600036" "招商银行" "2015-09-25" "16.83"
"601398" "工商银行" "2015-09-25" "4.23"
"601857" "中国石油" "2015-09-25" "10.66"
"601988" "中国银行" "2015-09-25" "4.16"
"002505" "大康牧业" "2015-09-28" "6.56"
"600028" "中国石化" "2015-09-28" "6.65"
"600036" "招商银行" "2015-09-28" "16.83"
"601398" "工商银行" "2015-09-28" "4.23"
"601857" "中国石油" "2015-09-28" "10.65"
"601988" "中国银行" "2015-09-28" "4.16"
"002505" "大康牧业" "2015-09-29" "6.49"
"600028" "中国石化" "2015-09-29" "6.65"
"600036" "招商银行" "2015-09-29" "16.84"
"601398" "工商银行" "2015-09-29" "4.23"
"601857" "中国石油" "2015-09-29" "10.65"
"601988" "中国银行" "2015-09-29" "4.16"
"002505" "大康牧业" "2015-09-30" "6.41"
"600028" "中国石化" "2015-09-30" "6.65"
"600036" "招商银行" "2015-09-30" "16.84"
"601398" "工商银行" "2015-09-30" "4.23"
"601857" "中国石油" "2015-09-30" "10.65"
"601988" "中国银行" "2015-09-30" "4.16"
"002505" "大康牧业" "2015-10-13" "6.26"
"600028" "中国石化" "2015-10-13" "6.63"
"600036" "招商银行" "2015-10-13" "16.85"
"601398" "工商银行" "2015-10-13" "4.23"
"601857" "中国石油" "2015-10-13" "10.65"
"601988" "中国银行" "2015-10-13" "4.15"
"002505" "大康牧业" "2015-10-14" "6.24"
"600028" "中国石化" "2015-10-14" "6.63"
"600036" "招商银行" "2015-10-14" "16.85"
"601398" "工商银行" "2015-10-14" "4.23"
"601857" "中国石油" "2015-10-14" "10.65"
"601988" "中国银行" "2015-10-14" "4.15"
"002505" "大康牧业" "2015-10-15" "6.22"
"600028" "中国石化" "2015-10-15" "6.63"
"600036" "招商银行" "2015-10-15" "16.86"
"601398" "工商银行" "2015-10-15" "4.23"
"601857" "中国石油" "2015-10-15" "10.65"
"601988" "中国银行" "2015-10-15" "4.15"
"002505" "大康牧业" "2015-10-16" "6.21"
"600028" "中国石化" "2015-10-16" "6.62"
"600036" "招商银行" "2015-10-16" "16.86"
"601398" "工商银行" "2015-10-16" "4.23"
"601857" "中国石油" "2015-10-16" "10.65"
"601988" "中国银行" "2015-10-16" "4.15"
"002505" "大康牧业" "2015-10-19" "6.19"
"600028" "中国石化" "2015-10-19" "6.62"
"600036" "招商银行" "2015-10-19" "16.86"
"601857" "中国石油" "2015-10-19" "10.65"
"002505" "大康牧业" "2015-10-20" "6.18"
"600028" "中国石化" "2015-10-20" "6.62"
"600036" "招商银行" "2015-10-20" "16.87"
"601398" "工商银行" "2015-10-20" "4.23"
"601857" "中国石油" "2015-10-20" "10.64"
"601988" "中国银行" "2015-10-20" "4.15"
"002505" "大康牧业" "2015-10-21" "6.16"
"600028" "中国石化" "2015-10-21" "6.61"
"600036" "招商银行" "2015-10-21" "16.87"
"601398" "工商银行" "2015-10-21" "4.23"
"601857" "中国石油" "2015-10-21" "10.64"
"601988" "中国银行" "2015-10-21" "4.15"
"002505" "大康牧业" "2015-10-22" "6.14"
"600028" "中国石化" "2015-10-22" "6.61"
"600036" "招商银行" "2015-10-22" "16.88"
"601398" "工商银行" "2015-10-22" "4.23"
"601857" "中国石油" "2015-10-22" "10.64"
"601988" "中国银行" "2015-10-22" "4.15"
"002505" "大康牧业" "2015-10-23" "6.13"
"600028" "中国石化" "2015-10-23" "6.61"
"600036" "招商银行" "2015-10-23" "16.88"
"601398" "工商银行" "2015-10-23" "4.23"
"601857" "中国石油" "2015-10-23" "10.64"
"601988" "中国银行" "2015-10-23" "4.15"
"002505" "大康牧业" "2015-10-26" "6.13"
"600028" "中国石化" "2015-10-26" "6.6"
"600036" "招商银行" "2015-10-26" "16.88"
"601398" "工商银行" "2015-10-26" "4.23"
"601857" "中国石油" "2015-10-26" "10.64"
"601988" "中国银行" "2015-10-26" "4.15"
"002505" "大康牧业" "2015-10-27" "6.12"
"600028" "中国石化" "2015-10-27" "6.6"
"600036" "招商银行" "2015-10-27" "16.89"
"601398" "工商银行" "2015-10-27" "4.23"
"601857" "中国石油" "2015-10-27" "10.64"
"601988" "中国银行" "2015-10-27" "4.15"
